date,PM2.5,PM10,NO2,SO2,CO,O3,AQI,temp_mean_C,temp_min_C,temp_max_C,precipitation_mm,humidity_percent,wind_speed_ms,year,month,season,is_weekend
2019-01-01,175.25833333333333,304.26666666666665,44.833333333333336,14.333333333333334,1.8516666666666666,45.333333333333336,342.0,11.9,6.12,21.08,0.0,38.66,2.24,2019,1,Winter,0
2019-01-02,189.65833333333333,218.28333333333333,48.0,16.0,1.915,44.0,353.1666666666667,13.33,7.510000000000001,22.36,0.0,41.2,2.05,2019,1,Winter,0
2019-01-03,171.1916666666667,203.4416666666667,47.666666666666664,13.5,1.735,43.5,338.8333333333333,11.71,4.79,21.25,0.0,49.26,3.27,2019,1,Winter,0
2019-01-04,159.0,222.39166666666665,40.5,12.833333333333334,1.6016666666666666,47.666666666666664,329.5,11.29,5.34,18.31,0.0,52.46,2.18,2019,1,Winter,0
2019-01-05,123.52499999999999,229.4,33.0,10.0,1.295,62.5,282.1666666666667,12.550000000000002,4.88,22.679999999999996,0.01,50.57,3.2900000000000005,2019,1,Winter,1
2019-01-06,132.56666666666666,270.84166666666664,30.166666666666668,9.0,1.3416666666666668,55.5,306.1666666666667,11.96,8.27,18.51,2.08,64.55,2.59,2019,1,Winter,1
2019-01-07,196.45000000000002,315.51666666666665,51.166666666666664,15.0,2.1783333333333332,40.166666666666664,358.3333333333333,11.88,5.55,21.08,0.12,70.17,3.08,2019,1,Winter,0
2019-01-08,168.07500000000002,240.34166666666667,45.166666666666664,13.666666666666666,1.9883333333333333,50.666666666666664,336.5,12.31,6.29,21.61,0.0,58.6,3.24,2019,1,Winter,0
2019-01-09,140.975,334.55833333333334,33.833333333333336,11.166666666666666,1.5283333333333333,47.833333333333336,315.6666666666667,12.51,5.78,22.49,0.0,46.35,4.24,2019,1,Winter,0
2019-01-10,189.025,256.6666666666667,50.666666666666664,15.5,2.0033333333333334,39.833333333333336,352.5,13.12,4.86,21.91,0.0,41.62,2.75,2019,1,Winter,0
2019-01-11,142.01666666666668,329.8833333333333,34.666666666666664,11.166666666666666,1.4516666666666669,51.833333333333336,316.5,13.83,6.88,21.69,0.0,36.17,1.54,2019,1,Winter,0
2019-01-12,174.975,267.51666666666665,45.666666666666664,15.0,1.7533333333333332,41.833333333333336,341.6666666666667,14.61,9.34,21.83,0.0,36.69,1.2,2019,1,Winter,1
2019-01-13,181.3083333333333,290.075,47.166666666666664,15.0,1.9783333333333333,37.0,346.5,13.85,7.98,21.929999999999996,0.0,54.35,2.9,2019,1,Winter,1
2019-01-14,164.04999999999998,298.60833333333335,42.833333333333336,12.666666666666666,1.6683333333333332,43.166666666666664,333.1666666666667,11.550000000000002,4.43,20.81,0.0,39.92,4.98,2019,1,Winter,0
2019-01-15,153.26666666666668,296.1666666666667,38.333333333333336,10.833333333333334,1.57,51.666666666666664,325.1666666666667,11.54,3.4500000000000006,22.209999999999997,0.0,30.45,3.93,2019,1,Winter,0
2019-01-16,198.6,299.15000000000003,52.833333333333336,16.0,2.2533333333333334,44.166666666666664,359.8333333333333,13.67,7.86,21.21,0.0,29.459999999999997,1.53,2019,1,Winter,0
2019-01-17,137.125,328.1333333333333,39.0,9.0,1.5583333333333333,52.666666666666664,307.1666666666667,12.75,5.510000000000001,22.12,0.0,31.99,2.43,2019,1,Winter,0
2019-01-18,181.54166666666666,207.20000000000002,46.833333333333336,13.0,1.9466666666666665,49.0,346.6666666666667,12.6,4.08,22.27,0.0,39.12,2.73,2019,1,Winter,0
2019-01-19,121.5,299.59166666666664,30.333333333333332,10.666666666666666,1.3383333333333332,56.0,288.0,15.13,7.89,25.600000000000005,0.0,36.44,2.31,2019,1,Winter,1
2019-01-20,192.75833333333333,298.5083333333333,50.5,14.166666666666666,2.055,50.5,355.6666666666667,17.58,11.38,27.13,0.0,34.75,2.06,2019,1,Winter,1
2019-01-21,127.36666666666667,316.31666666666666,33.333333333333336,9.333333333333334,1.4166666666666667,50.0,295.8333333333333,16.23,11.72,22.66,10.29,46.87,5.18,2019,1,Winter,0
2019-01-22,192.1,314.575,48.166666666666664,15.666666666666666,1.9466666666666665,37.666666666666664,355.1666666666667,13.63,8.86,19.3,23.55,77.77,3.31,2019,1,Winter,0
2019-01-23,182.85833333333335,237.475,50.166666666666664,14.833333333333334,1.8533333333333335,38.833333333333336,347.8333333333333,13.54,8.84,20.98,0.28,65.09,2.83,2019,1,Winter,0
