date,station,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category,year,month,day_of_year,day_of_week,quarter,season,is_weekend,temp_mean_C,temp_min_C,temp_max_C,precipitation_mm,humidity_percent,wind_speed_ms,temp_range,is_rainy,weather_category
2019-01-01,Anand Vihar,199.2,362.4,51,16,2.17,50,360,Very Poor,2019,1,1,1,1,Winter,0,11.9,6.12,21.08,0.0,38.66,2.24,14.959999999999997,0.0,Cold
2019-01-01,RK Puram,169.0,284.0,47,12,2.08,34,337,Very Poor,2019,1,1,1,1,Winter,0,11.9,6.12,21.08,0.0,38.66,2.24,14.959999999999997,0.0,Cold
2019-01-01,Punjabi Bagh,190.0,285.0,44,17,1.65,50,353,Very Poor,2019,1,1,1,1,Winter,0,11.9,6.12,21.08,0.0,38.66,2.24,14.959999999999997,0.0,Cold
2019-01-01,Dwarka,180.0,299.0,41,18,2.29,29,346,Very Poor,2019,1,1,1,1,Winter,0,11.9,6.12,21.08,0.0,38.66,2.24,14.959999999999997,0.0,Cold
2019-01-01,ITO,162.0,319.0,40,13,1.67,48,332,Very Poor,2019,1,1,1,1,Winter,0,11.9,6.12,21.08,0.0,38.66,2.24,14.959999999999997,0.0,Cold
2019-01-01,Lodhi Road,151.35,276.2,46,10,1.25,61,324,Very Poor,2019,1,1,1,1,Winter,0,11.9,6.12,21.08,0.0,38.66,2.24,14.959999999999997,0.0,Cold
2019-01-02,Anand Vihar,220.8,262.8,52,20,2.04,26,377,Very Poor,2019,1,2,2,1,Winter,0,13.33,7.51,22.36,0.0,41.2,2.05,14.85,0.0,Cold
2019-01-02,RK Puram,196.0,187.0,52,15,2.11,50,358,Very Poor,2019,1,2,2,1,Winter,0,13.33,7.51,22.36,0.0,41.2,2.05,14.85,0.0,Cold
2019-01-02,Punjabi Bagh,187.0,209.0,45,12,2.12,41,351,Very Poor,2019,1,2,2,1,Winter,0,13.33,7.51,22.36,0.0,41.2,2.05,14.85,0.0,Cold
2019-01-02,Dwarka,185.0,227.0,53,18,1.58,41,350,Very Poor,2019,1,2,2,1,Winter,0,13.33,7.51,22.36,0.0,41.2,2.05,14.85,0.0,Cold
