date,temp_mean_C,temp_min_C,temp_max_C,precipitation_mm,humidity_percent,wind_speed_ms,year,month,day_of_year,season,temp_range,is_rainy,weather_category
2019-01-01,11.9,6.12,21.08,0.0,38.66,2.24,2019,1,1,Winter,14.959999999999997,0,Cold
2019-01-02,13.33,7.51,22.36,0.0,41.2,2.05,2019,1,2,Winter,14.85,0,Cold
2019-01-03,11.71,4.79,21.25,0.0,49.26,3.27,2019,1,3,Winter,16.46,0,Cold
2019-01-04,11.29,5.34,18.31,0.0,52.46,2.18,2019,1,4,Winter,12.969999999999999,0,Cold
2019-01-05,12.55,4.88,22.68,0.01,50.57,3.29,2019,1,5,Winter,17.8,0,Cold
2019-01-06,11.96,8.27,18.51,2.08,64.55,2.59,2019,1,6,Winter,10.240000000000002,1,Cold
2019-01-07,11.88,5.55,21.08,0.12,70.17,3.08,2019,1,7,Winter,15.529999999999998,0,Cold
2019-01-08,12.31,6.29,21.61,0.0,58.6,3.24,2019,1,8,Winter,15.32,0,Cold
2019-01-09,12.51,5.78,22.49,0.0,46.35,4.24,2019,1,9,Winter,16.709999999999997,0,Cold
2019-01-10,13.12,4.86,21.91,0.0,41.62,2.75,2019,1,10,Winter,17.05,0,Cold
2019-01-11,13.83,6.88,21.69,0.0,36.17,1.54,2019,1,11,Winter,14.810000000000002,0,Cold
2019-01-12,14.61,9.34,21.83,0.0,36.69,1.2,2019,1,12,Winter,12.489999999999998,0,Cold
2019-01-13,13.85,7.98,21.93,0.0,54.35,2.9,2019,1,13,Winter,13.95,0,Cold
2019-01-14,11.55,4.43,20.81,0.0,39.92,4.98,2019,1,14,Winter,16.38,0,Cold
2019-01-15,11.54,3.45,22.21,0.0,30.45,3.93,2019,1,15,Winter,18.76,0,Cold
2019-01-16,13.67,7.86,21.21,0.0,29.46,1.53,2019,1,16,Winter,13.350000000000001,0,Cold
2019-01-17,12.75,5.51,22.12,0.0,31.99,2.43,2019,1,17,Winter,16.61,0,Cold
2019-01-18,12.6,4.08,22.27,0.0,39.12,2.73,2019,1,18,Winter,18.189999999999998,0,Cold
2019-01-19,15.13,7.89,25.6,0.0,36.44,2.31,2019,1,19,Winter,17.71,0,Pleasant
2019-01-20,17.58,11.38,27.13,0.0,34.75,2.06,2019,1,20,Winter,15.749999999999998,0,Pleasant
2019-01-21,16.23,11.72,22.66,10.29,46.87,5.18,2019,1,21,Winter,10.94,1,Pleasant
2019-01-22,13.63,8.86,19.3,23.55,77.77,3.31,2019,1,22,Winter,10.440000000000001,1,Cold
2019-01-23,13.54,8.84,20.98,0.28,65.09,2.83,2019,1,23,Winter,12.14,0,Cold
2019-01-24,13.74,7.31,21.3,0.16,57.71,2.88,2019,1,24,Winter,13.990000000000002,0,Cold
2019-01-25,11.89,6.82,19.8,2.7,58.83,2.86,2019,1,25,Winter,12.98,1,Cold
2019-01-26,9.91,2.9,18.95,0.0,54.79,3.03,2019,1,26,Winter,16.05,0,Cold
2019-01-27,9.25,2.58,17.71,0.0,52.28,3.89,2019,1,27,Winter,15.13,0,Cold
2019-01-28,9.28,1.51,19.48,0.0,46.52,4.16,2019,1,28,Winter,17.97,0,Cold
2019-01-29,10.35,2.09,20.95,0.0,40.88,3.76,2019,1,29,Winter,18.86,0,Cold
2019-01-30,11.5,4.11,18.56,0.0,38.59,2.29,2019,1,30,Winter,14.45,0,Cold
2019-01-31,12.88,5.53,21.98,0.01,42.28,3.73,2019,1,31,Winter,16.45,0,Cold
2019-02-01,12.87,6.28,22.31,0.03,51.56,2.47,2019,2,32,Winter,16.029999999999998,0,Cold
2019-02-02,11.49,4.79,19.58,0.0,61.71,2.96,2019,2,33,Winter,14.79,0,Cold
2019-02-03,12.82,4.7,21.82,0.0,54.83,2.58,2019,2,34,Winter,17.12,0,Cold
2019-02-04,13.95,5.83,23.74,0.0,47.03,2.27,2019,2,35,Winter,17.909999999999997,0,Cold
2019-02-05,16.69,9.87,25.84,0.05,49.75,2.75,2019,2,36,Winter,15.97,0,Pleasant
2019-02-06,17.83,12.32,26.04,2.51,63.57,3.8,2019,2,37,Winter,13.719999999999999,1,Pleasant
2019-02-07,16.25,10.07,22.71,9.93,71.38,4.02,2019,2,38,Winter,12.64,1,Pleasant
2019-02-08,12.16,5.62,20.74,0.03,50.51,2.9,2019,2,39,Winter,15.119999999999997,0,Cold
2019-02-09,11.44,3.99,20.69,0.0,48.47,3.63,2019,2,40,Winter,16.700000000000003,0,Cold
2019-02-10,12.91,4.86,21.07,0.0,43.28,2.04,2019,2,41,Winter,16.21,0,Cold
2019-02-11,14.11,8.34,20.93,0.0,44.09,1.45,2019,2,42,Winter,12.59,0,Cold
2019-02-12,15.01,8.58,23.72,0.0,43.7,1.8,2019,2,43,Winter,15.139999999999999,0,Pleasant
2019-02-13,15.97,11.12,23.02,0.0,44.84,1.98,2019,2,44,Winter,11.9,0,Pleasant
2019-02-14,17.07,12.58,24.84,3.26,56.46,4.52,2019,2,45,Winter,12.26,1,Pleasant
2019-02-15,15.44,10.25,24.28,2.53,69.25,2.61,2019,2,46,Winter,14.030000000000001,1,Pleasant
2019-02-16,14.41,8.92,22.54,0.04,69.36,2.58,2019,2,47,Winter,13.62,0,Cold
2019-02-17,14.65,7.19,23.59,0.0,49.8,3.39,2019,2,48,Winter,16.4,0,Cold
2019-02-18,17.59,9.69,26.91,0.0,42.29,2.8,2019,2,49,Winter,17.22,0,Pleasant
2019-02-19,17.8,10.06,25.33,1.06,53.65,2.48,2019,2,50,Winter,15.269999999999998,1,Pleasant
2019-02-20,17.9,13.66,25.23,1.94,62.09,3.76,2019,2,51,Winter,11.57,1,Pleasant
2019-02-21,20.28,13.05,28.52,0.04,54.74,3.05,2019,2,52,Winter,15.469999999999999,0,Pleasant
2019-02-22,17.94,12.24,25.69,0.0,56.65,4.19,2019,2,53,Winter,13.450000000000001,0,Pleasant
