feature,importance
Pollution_Severity,0.8226102249291667
AQHI,0.11763258614641633
Seasonal_Pollution_Index,0.04785868975333732
PM2.5_rolling_max_7d,0.0014146013718583793
day_of_year_sin,0.0012058282840143985
AQI_rolling_max_7d,0.0010596204150426667
month_sin,0.0008660191708043517
PM2.5_change_30d,0.0006356858565122306
AQI_rolling_std_30d,0.0004953135628028584
AQI_rolling_std_7d,0.0004850774037561887
PM10_change_7d,0.000408958139125452
PM2.5_rolling_mean_7d,0.0003585599987161203
AQI_change_7d,0.0003288467333782102
day_of_year,0.00029598786293112515
AQI_rolling_mean_7d,0.00025623243874594594
PM10_change_30d,0.00023904196891206446
AQI_rolling_mean_30d,0.0002179449808838485
Wind_Dispersion_Effect,0.00021771505325259797
PM10_rolling_std_30d,0.00019419648839590135
PM2.5_change_7d,0.0001877006155666296
PM2.5_rolling_mean_30d,0.00017579453059353529
PM10_lag_1d,0.00017501155765073332
temp_min_C,0.00016525575460161546
AQI_change_30d,0.00013367541383580382
month_cos,0.00013302065676346387
month,0.00012522760155769865
PM10_lag_30d,0.00011700244211578867
Weather_Comfort_Index,0.00010600828227573327
PM10_rolling_mean_30d,0.00010266873667330186
PM2.5_rolling_std_7d,9.21149953881192e-05
PM10_rolling_mean_7d,9.115643955723672e-05
PM10_lag_7d,8.518783185936614e-05
O3_lag_30d,8.454666985245443e-05
Green_Cooling_Effect,8.387413458232551e-05
SO2_lag_30d,7.875196602766123e-05
day_of_year_cos,7.839147899841006e-05
PM2.5_rolling_std_30d,7.301079151928823e-05
PM2.5_lag_30d,6.716478367359873e-05
PM10_rolling_std_7d,6.451730882182443e-05
PM10_rolling_max_7d,6.172824100120677e-05
humidity_percent,5.719169278665504e-05
CO_lag_30d,5.6740309059489246e-05
O3_lag_7d,5.56802211470111e-05
PM2.5_rolling_max_30d,5.544754889920471e-05
PM10_rolling_max_30d,5.412136808958543e-05
Heat_Stress_Index,5.24960836561379e-05
temp_mean_C,5.116276067981829e-05
AQI_lag_30d,4.732678366805514e-05
SO2_lag_1d,4.713421711070255e-05
temp_max_C,4.558878899468436e-05
NO2_lag_1d,4.373790297151202e-05
NO2_lag_30d,4.3161425281890374e-05
O3_lag_1d,3.8814579206532655e-05
SO2_lag_7d,3.655406401528663e-05
CO_lag_7d,3.489922544724381e-05
wind_speed_ms,3.35304909211519e-05
AQI_lag_1d,3.100890076301944e-05
CO_lag_1d,2.905116274393647e-05
AQI_rolling_max_30d,2.8599378900913363e-05
precipitation_mm,1.9415863959850547e-05
PM2.5_lag_1d,1.745757977827928e-05
PM2.5_lag_7d,1.5568587599626553e-05
NO2_lag_7d,1.1994424093136177e-05
forest_cover_sq_km,8.73118345949575e-06
AQI_lag_7d,8.162841934732094e-06
total_species,6.331047364302914e-06
threatened_species,4.5440947466140375e-06
is_weekend,1.2299608262839704e-06
green_cover_percentage,5.67538772246826e-07
total_vehicles,4.856775685354631e-07
year,2.2713332955642537e-07
Emission_Pressure,7.029823002925554e-08
total_green_cover_sq_km,2.1804729651392433e-08
population,4.268296222397396e-09
density_per_sq_km,0.0
