feature,importance
Pollution_Severity,0.89227223
AQHI,0.043486312
day_of_year_cos,0.020705141
AQI_rolling_mean_7d,0.008298067
Seasonal_Pollution_Index,0.0043486636
month_sin,0.004026009
AQI_change_7d,0.0035411795
month,0.0026642017
AQI_change_30d,0.0022454248
PM2.5_rolling_mean_7d,0.002182393
PM2.5_rolling_max_7d,0.0016768017
PM2.5_change_30d,0.0016534271
day_of_year_sin,0.0016202381
month_cos,0.0013491696
AQI_rolling_max_7d,0.0009900903
PM10_change_7d,0.0009469705
day_of_year,0.0008959089
PM2.5_change_7d,0.00064068905
AQI_rolling_std_30d,0.0005453309
NO2_lag_7d,0.00040606468
PM2.5_lag_7d,0.00032781958
CO_lag_30d,0.00032526825
PM2.5_rolling_std_7d,0.00030667466
PM2.5_rolling_mean_30d,0.00023864314
PM2.5_lag_30d,0.00023656376
Wind_Dispersion_Effect,0.0002257033
AQI_rolling_mean_30d,0.00020117097
PM10_lag_1d,0.00020060797
NO2_lag_30d,0.00019379976
AQI_lag_7d,0.00018867866
PM10_rolling_mean_30d,0.00018231756
Heat_Stress_Index,0.00015935981
SO2_lag_30d,0.00014342314
AQI_rolling_std_7d,0.00014253262
CO_lag_1d,0.00013697839
PM10_rolling_mean_7d,0.00013581412
temp_mean_C,0.0001265626
PM10_rolling_std_30d,0.00012472758
AQI_lag_30d,0.000120660006
PM2.5_rolling_max_30d,0.000109571076
PM10_change_30d,0.000104000566
humidity_percent,9.426117e-05
PM10_rolling_max_30d,8.896998e-05
temp_min_C,8.290919e-05
O3_lag_7d,7.9017744e-05
PM2.5_lag_1d,7.346861e-05
Green_Cooling_Effect,7.3033356e-05
wind_speed_ms,7.2939525e-05
SO2_lag_1d,7.16256e-05
PM10_lag_30d,7.04796e-05
PM10_rolling_max_7d,6.950324e-05
is_weekend,6.595723e-05
temp_max_C,6.475117e-05
year,6.4306776e-05
PM2.5_rolling_std_30d,6.427869e-05
PM10_lag_7d,6.0994553e-05
O3_lag_1d,5.8230024e-05
precipitation_mm,5.5948884e-05
PM10_rolling_std_7d,5.2972777e-05
CO_lag_7d,4.8843238e-05
NO2_lag_1d,4.6482128e-05
O3_lag_30d,4.5225213e-05
AQI_rolling_max_30d,4.5216922e-05
SO2_lag_7d,3.9845323e-05
Weather_Comfort_Index,3.1982177e-05
AQI_lag_1d,3.0271252e-05
total_green_cover_sq_km,1.2920458e-05
forest_cover_sq_km,1.0379779e-05
density_per_sq_km,0.0
total_vehicles,0.0
threatened_species,0.0
green_cover_percentage,0.0
total_species,0.0
population,0.0
Emission_Pressure,0.0
